XUp10,YUp10,XDn10,YDn10,XUp5,YUp5,XDn5,YDn5,XBis,YBis
3.850,4.235,3.850,3.465,3.850,4.043,3.850,3.658,3.850,3.850
3.900,4.290,3.900,3.510,3.900,4.095,3.900,3.705,3.900,3.900
3.950,4.345,3.950,3.555,3.950,4.148,3.950,3.753,3.950,3.950
4.000,4.400,4.000,3.600,4.000,4.200,4.000,3.800,4.000,4.000
4.050,4.455,4.050,3.645,4.050,4.253,4.050,3.848,4.050,4.050
4.100,4.510,4.100,3.690,4.100,4.305,4.100,3.895,4.100,4.100
4.150,4.565,4.150,3.735,4.150,4.358,4.150,3.943,4.150,4.150
4.200,4.620,4.200,3.780,4.200,4.410,4.200,3.990,4.200,4.200
4.250,4.675,4.250,3.825,4.250,4.463,4.250,4.038,4.250,4.250
4.300,4.730,4.300,3.870,4.300,4.515,4.300,4.085,4.300,4.300
4.350,4.785,4.350,3.915,4.350,4.568,4.350,4.133,4.350,4.350
4.400,4.840,4.400,3.960,4.400,4.620,4.400,4.180,4.400,4.400
4.450,4.895,4.450,4.005,4.450,4.673,4.450,4.228,4.450,4.450
4.500,4.950,4.500,4.050,4.500,4.725,4.500,4.275,4.500,4.500
4.550,5.005,4.550,4.095,4.550,4.778,4.550,4.323,4.550,4.550
4.600,5.060,4.600,4.140,4.600,4.830,4.600,4.370,4.600,4.600
4.650,5.115,4.650,4.185,4.650,4.883,4.650,4.418,4.650,4.650
4.700,5.170,4.700,4.230,4.700,4.935,4.700,4.465,4.700,4.700
4.750,5.225,4.750,4.275,4.750,4.988,4.750,4.513,4.750,4.750
4.800,5.280,4.800,4.320,4.800,5.040,4.800,4.560,4.800,4.800
4.850,5.335,4.850,4.365,4.850,5.093,4.850,4.608,4.850,4.850
4.900,5.390,4.900,4.410,4.900,5.145,4.900,4.655,4.900,4.900
4.950,5.445,4.950,4.455,4.950,5.198,4.950,4.703,4.950,4.950
5.000,5.500,5.000,4.500,5.000,5.250,5.000,4.750,5.000,5.000
5.050,5.555,5.050,4.545,5.050,5.303,5.050,4.798,5.050,5.050
5.100,5.610,5.100,4.590,5.100,5.355,5.100,4.845,5.100,5.100
5.150,5.665,5.150,4.635,5.150,5.408,5.150,4.893,5.150,5.150
5.200,5.720,5.200,4.680,5.200,5.460,5.200,4.940,5.200,5.200
